video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
xDzX5w3cu-Q,507449,1,0,2,2
xOE-uhQc2og,209147,1,0,2,2
xa24UfaJp7g,491381,1,0,2,2
y4KCHLWRyGU,339318,1,0,2,2
yS4CQMMYTA0,209942,1,0,2,2
ymGM4jQhCt8,259835,1,0,2,2
yscdS7_HcSw,248333,1,0,2,2
-xE6qrzTvBk,426547,1,0,2,2
0iXDzm-NwtI,422327,1,0,2,2
1TKUUHU-sz0,542270,1,0,2,2
33NvT5QjDhE,197263,1,0,2,2
3EMiApxWGls,391332,1,0,2,2
3YyKpVLcOIQ,215542,1,0,2,2
3yBbOYaawFY,350834,1,0,2,2
5mJ35Kz96AI,212053,1,0,2,2
BNik_VAdsWM,213752,1,0,2,2
EJyAFnsfeck,225102,1,0,2,2
JtZlpbCFIbo,271144,1,0,2,2
L-tNrt1JUyY,591632,1,0,2,2
NxOmfZUjz60,205218,1,0,2,2
OWhIoCzgOyg,207994,1,0,2,2
OvFesAwuEKk,274174,1,0,2,2
PNTdaIFLcqc,222912,1,0,2,2
Q1ylt8or1-o,417764,1,0,2,2
SJiGPZwDauE,523720,1,0,2,2
TgWlruoQoLI,310989,1,0,2,2
ThzodQf_Ff8,326107,1,0,2,2
U4SiqAqZarg,335157,1,0,2,2
UDjqPoyD9-8,383264,1,0,2,2
UbNEDybjXDg,468945,1,0,2,2
Ve6nUvv47T4,407326,1,0,2,2
